"time","latitude","longitude","u10","v10","t2m","ssr","sp","tcc","tp"
2020-02-09 06:00:00,-3.37800002098083,39.9879989624023,-2.12062118003703,-0.329610781232821,300.999001475908,1172742.70720095,101063.62563613,0.342667053240352,4.5025232060748e-07
2020-02-09 07:00:00,-3.37800002098083,39.9879989624023,-2.5183993111456,-0.729426427920964,301.254899651583,1722124.94762944,101066.865898669,0.292463339081074,2.67900130761591e-05
2020-02-09 10:00:00,-3.37800002098083,39.9879989624023,-3.4123437909207,-0.911950962278594,302.369670325924,3189901.26998611,100850.927426831,0.258098973036485,9.57911812092915e-05
2020-02-09 11:00:00,-3.37800002098083,39.9879989624023,-4.00508753105516,-0.925260042908838,302.310764557402,3059722.23527078,100768.498309058,0.280698274151954,9.02755902818472e-05
2020-02-09 12:00:00,-3.37800002098083,39.9879989624023,-4.52580063338646,-0.837257142414981,302.067343367321,2509466.65483039,100713.49287668,0.381517708635344,6.40483926064475e-05
2020-02-09 13:00:00,-3.37800002098083,39.9879989624023,-5.17769802579504,-0.720191555646917,301.818883394596,1825076.32315017,100667.259862398,0.280866128515404,6.11217525224974e-05
2020-02-09 14:00:00,-3.37800002098083,39.9879989624023,-5.14570676487128,-0.856813342524726,301.292690521408,1086693.02955763,100646.817230441,0.310179604168892,0
2020-02-10 06:00:00,-3.37800002098083,39.9879989624023,-0.749222221192313,0.166356182661574,300.54587095105,1188411.45447332,100987.308233066,0.367143271328949,1.23819388167133e-06
2020-02-10 07:00:00,-3.37800002098083,39.9879989624023,-0.587656293382409,0.283150155539224,300.791691561438,1657600.53263241,100970.316612432,0.342987502479667,1.64342097021815e-05
2020-02-10 10:00:00,-3.37800002098083,39.9879989624023,-2.07575293358422,1.40898973130169,302.401102731937,2743984.13449712,100771.501479217,0.395297025925869,6.0221247881282e-05
2020-02-10 11:00:00,-3.37800002098083,39.9879989624023,-2.42222432547544,1.02764382916164,302.303206383437,2947318.23844475,100606.695930867,0.291227320586575,4.91900660263929e-05
2020-02-10 12:00:00,-3.37800002098083,39.9879989624023,-3.35902502271444,0.833168283625834,302.480763486109,2685675.84546717,100518.365847169,0.375001907435948,2.52141299540319e-05
2020-02-10 13:00:00,-3.37800002098083,39.9879989624023,-4.31232435766254,0.832081828064181,302.457729051167,2087540.68319778,100450.320333839,0.0128332290601681,2.25126160303957e-07
2020-02-10 14:00:00,-3.37800002098083,39.9879989624023,-4.80084499617119,0.792426200063863,301.708510060503,1307493.9337433,100410.436126646,0.0176399676498863,0
2020-02-11 06:00:00,-3.37800002098083,39.9879989624023,0.385964534353737,1.1775746966697,300.370113413608,1149573.5104146,100849.636590535,0.703828605435429,1.46332004197485e-06
2020-02-11 07:00:00,-3.37800002098083,39.9879989624023,0.213332447104799,1.21532902743712,300.54203187856,1930442.2269391,100857.197203127,0.721209161796347,1.91357236258276e-06
2020-02-11 10:00:00,-3.37800002098083,39.9879989624023,-1.92967962898896,1.99105829845705,302.748298850269,2681617.38305892,100673.924792662,0.549524666961683,0
2020-02-11 11:00:00,-3.37800002098083,39.9879989624023,-2.4968706009642,1.92505612308666,302.579619602731,2643909.64372148,100505.510171402,0.145224543359834,0
2020-02-11 12:00:00,-3.37800002098083,39.9879989624023,-2.8417323696643,1.92261159807294,302.496599660131,2413810.23705614,100394.682655113,0.0435810965467779,0
2020-02-11 13:00:00,-3.37800002098083,39.9879989624023,-3.45821805186797,1.95031621489508,302.423537311802,2291491.26244793,100307.801469298,0.069125478766423,0
2020-02-11 14:00:00,-3.37800002098083,39.9879989624023,-4.01776331368533,1.87779530615477,302.043709077303,1532867.029756,100256.247048243,0.0581081287290373,0
2020-02-12 06:00:00,-3.37800002098083,39.9879989624023,-2.78901721015471,-0.597965304961004,301.053468316863,1047392.72902202,100762.887122709,0.560358903148032,5.89830539996106e-05
2020-02-12 07:00:00,-3.37800002098083,39.9879989624023,-2.52342938361789,-0.379859350959252,301.257299071889,1520280.65899623,100774.425618581,0.612698945569408,5.41428415530777e-05
2020-02-12 10:00:00,-3.37800002098083,39.9879989624023,-2.91818947124308,-0.816886100633995,302.719985690654,3177058.03451696,100537.306894046,0.44031251430577,5.9996121720978e-05
2020-02-12 11:00:00,-3.37800002098083,39.9879989624023,-3.98134558898596,-0.559939360303164,302.791248473753,3109553.98889109,100408.381326011,0.401812827125265,5.2004143030191e-05
2020-02-12 12:00:00,-3.37800002098083,39.9879989624023,-4.63907786546239,-0.489048134905334,302.656041139489,2676274.59710375,100299.503235965,0.39367952024171,3.45568656066422e-05
2020-02-12 13:00:00,-3.37800002098083,39.9879989624023,-5.13765864891562,-0.231014939012851,302.583458675221,1883795.59571514,100259.197531206,0.817008224863809,1.08060556945852e-05
2020-02-12 14:00:00,-3.37800002098083,39.9879989624023,-5.504250330696,-0.690314027701471,301.816364003274,1321364.62804999,100238.307058085,0.910182656066409,0
2020-02-13 06:00:00,-3.37800002098083,39.9879989624023,-1.79668451282165,-2.92515311802079,301.121131969503,1178239.61198175,100896.054010003,0.831397921657791,7.54172637017908e-06
2020-02-13 07:00:00,-3.37800002098083,39.9879989624023,-2.1497956003763,-2.8632251510066,301.404983391747,1768566.0870859,100932.250113492,0.871698228373491,2.43136253128165e-05
2020-02-13 10:00:00,-3.37800002098083,39.9879989624023,-3.28940881969797,-2.41669191516739,302.902581575969,2912436.01091053,100699.82054938,0.990279706407459,0.000110536944709194
2020-02-13 11:00:00,-3.37800002098083,39.9879989624023,-4.02299458905651,-1.78763414497056,302.892384039667,2801573.20234081,100593.813911503,0.981062975905269,2.08241698281069e-05
2020-02-13 12:00:00,-3.37800002098083,39.9879989624023,-4.56362677837807,-1.08279609934846,303.334717173147,2556010.5401706,100491.258284948,0.995086444997177,1.68844620227894e-05
2020-02-13 13:00:00,-3.37800002098083,39.9879989624023,-4.87388164846882,-0.41951497895957,302.940372445794,2185200.64570522,100421.368719767,1,1.85729082250682e-05
2020-02-13 14:00:00,-3.37800002098083,39.9879989624023,-5.77909349058184,-0.652831310824458,301.982883772536,1343814.60365007,100397.738512467,0.957929592724276,0.00014351792719371
2020-02-14 06:00:00,-3.37800002098083,39.9879989624023,-2.90571489151181,-4.37285515392283,301.445293652894,990317.390597104,100944.052045344,0.965238887278165,0.00020013715651013
2020-02-14 07:00:00,-3.37800002098083,39.9879989624023,-2.69243981868678,-4.68059369176092,301.702391538721,1345869.52132513,100925.058311271,0.954252056215952,0.000149708896602066
2020-02-14 10:00:00,-3.37800002098083,39.9879989624023,-3.8020738060736,-2.70487425289573,303.713105755461,2886544.04820472,100690.995444089,0.312987349884791,8.56605039956178e-05
2020-02-14 11:00:00,-3.37800002098083,39.9879989624023,-5.12337324309432,-2.19478336669986,303.469204681319,2467032.60484031,100551.05825214,0.348038392870767,8.50976885948583e-05
